Phố,Phường,Quận,Thành phố/Tỉnh,Diện tích,Số tầng,Số phòng ngủ,WC,Mặt tiền,Vị trí,Kiểu nhà,Pháp lý,Thang Máy,Giá nhà(Tỷ)
Phường Thành Công,Quận Ba Đình,Quận Ba Đình,Hà Nội,80.0,1,3,2,0,,Chung cư,Sổ đỏ,0,2.15
20 Núi Trúc Núi Trúc, Phường Ngọc Khánh,Quận Ba Đình,Hà Nội,120.0,1,2,4,0,,Chung cư,Sổ đỏ,0,9.0
Phường Giảng Võ,Quận Ba Đình,Quận Ba Đình,Hà Nội,75.0,1,2,1,0,,Chung cư,Sổ đỏ,0,2.9
20 Núi Trúc Núi Trúc, Phường Ngọc Khánh,Quận Ba Đình,Hà Nội,120.0,1,2,3,0,,Chung cư,Sổ đỏ,0,9.0
Phường Cống Vị,Quận Ba Đình,Quận Ba Đình,Hà Nội,42.0,1,2,1,0,,Chung cư,Sổ đỏ,0,1.75
Nguyễn Công Hoan, Phường Ngọc Khánh,Quận Ba Đình,Hà Nội,113.0,1,3,2,0,,Chung cư,Sổ đỏ,0,5.65
Phường Kim Mã,Quận Ba Đình,Quận Ba Đình,Hà Nội,100.0,1,1,1,0,,Chung cư,Sổ đỏ,0,6.4
Phường Vĩnh Phúc,Quận Ba Đình,Quận Ba Đình,Hà Nội,335.0,1,1,3,0,,Chung cư,Sổ đỏ,0,13.0
Phường Thành Công,Quận Ba Đình,Quận Ba Đình,Hà Nội,55.0,1,1,1,0,,Chung cư,Sổ đỏ,0,1.95
Phường Ngọc Khánh,Quận Ba Đình,Quận Ba Đình,Hà Nội,153.0,1,4,2,0,,Chung cư,Sổ đỏ,0,5.1
Phường Kim Mã,Quận Ba Đình,Quận Ba Đình,Hà Nội,125.0,1,3,3,0,,Chung cư,Sổ đỏ,0,8.6
Phường Liễu Giai,Quận Ba Đình,Quận Ba Đình,Hà Nội,65.0,1,1,1,0,,Chung cư,Sổ đỏ,0,2.6
Phường Giảng Võ,Quận Ba Đình,Quận Ba Đình,Hà Nội,77.0,1,3,2,0,,Chung cư,Sổ đỏ,0,3.7
Phường Vĩnh Phúc,Quận Ba Đình,Quận Ba Đình,Hà Nội,70.0,1,1,1,0,,Chung cư,Sổ đỏ,0,2.7
Phường Vĩnh Phúc,Quận Ba Đình,Quận Ba Đình,Hà Nội,70.0,1,2,1,0,,Chung cư,Sổ đỏ,0,1.85
Ngọc Khánh, Phường Cống Vị,Quận Ba Đình,Hà Nội,80.0,1,3,2,0,,Chung cư,Sổ đỏ,0,2.5
Phường Thành Công,Quận Ba Đình,Quận Ba Đình,Hà Nội,100.0,1,1,1,0,,Chung cư,Sổ đỏ,0,3.2
Hàng Than, Phường Nguyễn Trung Trực,Quận Ba Đình,Hà Nội,40.0,1,1,1,0,,Chung cư,Sổ đỏ,0,2.5
